Date           Open    High    Low     Close   Volume        Vol in 1Adj Close
      9/17/1962   58.89   59.42   58.65   59.08       3330000     333   59.08
      9/18/1962   59.08   59.54   58.77   59.03       3690000     369   59.03
      9/19/1962   59.03   59.26   58.59   58.95       2950000     295   58.95
      9/20/1962   58.95   59.29   58.33   58.54       3350000     335   58.54
      9/21/1962   58.54   58.64   57.43   57.69       4280000     428   57.69
      9/24/1962   57.45   57.45    56.3   56.63       5000000     500   56.63
      9/25/1962   56.63   57.22   56.12   56.96       3620000     362   56.96
      9/26/1962   56.96   57.29   55.92   56.15       3550000     355   56.15
      9/27/1962   56.15   56.55   55.53   55.77       3540000     354   55.77
      9/28/1962   55.77   56.58   55.59   56.27       2850000     285   56.27
      10/1/1962   56.27   56.31   55.26   55.49       3090000     309   55.49
      10/2/1962   55.49   56.46   55.31    56.1       3000000     300    56.1
      10/3/1962    56.1   56.71   55.84   56.16       2610000     261   56.16
      10/4/1962   56.16   56.84    55.9    56.7       2530000     253    56.7
      10/5/1962    56.7    57.3   56.55   57.07       2730000     273   57.07
      10/8/1962   57.07   57.41   56.68   57.07       1950000     195   57.07
      10/9/1962   57.07    57.4   56.71    57.2       2340000     234    57.2
     10/10/1962    57.2   57.83   56.96   57.24       3040000     304   57.24
     10/11/1962   57.24   57.46   56.78   57.05       2460000     246   57.05
     10/12/1962   57.05   57.21   56.66   56.95       2020000     202   56.95
     10/15/1962   56.95    57.5   56.66   57.27       2640000     264   57.27
     10/16/1962   57.27   57.63   56.87   57.08       2860000     286   57.08
     10/17/1962   57.08   57.23   56.37   56.89       3240000     324   56.89
     10/18/1962   56.89   57.02   56.18   56.34       3280000     328   56.34
     10/19/1962   56.34   56.54   55.34   55.59       4650000     465   55.59
     10/22/1962   55.48   55.48   54.38   54.96       5690000     569   54.96
     10/23/1962   54.96   55.19   53.24   53.49       6110000     611   53.49
     10/24/1962   53.49   55.44   52.55   55.21       6720000     672   55.21
     10/25/1962   55.17   55.17   53.82   54.69       3950000     395   54.69
     10/26/1962   54.69   54.96   54.08   54.54       2580000     258   54.54
     10/29/1962   55.34   56.38   55.34   55.72       4280000     428   55.72
     10/30/1962   55.72   56.84   55.52   56.54       3830000     383   56.54
     10/31/1962   56.54      57   56.19   56.52       3090000     309   56.52
      11/1/1962   56.52   57.31    55.9   57.12       3400000     340   57.12
      11/2/1962   57.12   58.19   56.78   57.75       5470000     547   57.75
      11/5/1962   57.75    58.7   57.69   58.35       4320000     432   58.35
      11/7/1962   58.35   59.11   57.76   58.71       4580000     458   58.71
      11/8/1962   58.71   59.12   58.09   58.32       4160000     416   58.32
      11/9/1962   58.32   58.99    57.9   58.78       4340000     434   58.78
     11/12/1962   58.78      60   58.59   59.59       5090000     509   59.59
     11/13/1962   59.59   60.06   59.06   59.46       4550000     455   59.46
     11/14/1962   59.46   60.41   59.18   60.16       5090000     509   60.16
     11/15/1962   60.16   60.67   59.74   59.97       5050000     505   59.97
     11/16/1962   59.97   60.46   59.46   60.16       4000000     400   60.16
     11/19/1962   60.16   60.42   59.46   59.82       3410000     341   59.82
     11/20/1962   59.82   60.63   59.57   60.45       4290000     429   60.45
