Date Open High Low Close Volume AdjClose TrainTest 
3/15/1962 70.91 71.44 70.59 71.06 325 71.06 train
3/16/1962 71.06 71.34 70.67 70.94 306 70.94 train
3/19/1962 70.94 71.31 70.53 70.85 322 70.85 train
3/20/1962 70.85 71.08 70.4 70.66 306 70.66 train
3/21/1962 70.66 70.93 70.16 70.51 336 70.51 test
3/22/1962 70.51 70.84 70.14 70.4 313 70.4 train
3/23/1962 70.4 70.78 70.12 70.45 305 70.45 train
3/26/1962 70.45 70.63 69.73 69.89 304 69.89 train
3/27/1962 69.89 70.2 69.41 69.7 309 69.7 train
3/28/1962 69.7 70.33 69.54 70.04 294 70.04 test
3/29/1962 70.04 70.5 69.81 70.01 287 70.01 train
3/30/1962 70.01 70.09 69.16 69.55 295 69.55 train
4/2/1962 69.55 69.82 69.13 69.37 279 69.37 test
4/3/1962 69.37 69.53 68.53 68.81 335 68.81 test
4/4/1962 68.81 69.22 68.33 68.49 329 68.49 train
4/5/1962 68.49 69.09 68.12 68.91 313 68.91 train
4/6/1962 68.91 69.42 68.58 68.84 273 68.84 train
4/9/1962 68.84 69.02 68.09 68.31 302 68.31 train
4/10/1962 68.31 68.8 67.94 68.56 288 68.56 train
4/11/1962 68.56 69.26 68.24 68.41 324 68.41 test
4/12/1962 68.41 68.43 67.47 67.9 332 67.9 train
4/13/1962 67.9 68.11 67.03 67.9 347 67.9 test
4/16/1962 67.9 68.19 67.21 67.6 307 67.6 test
4/17/1962 67.6 68.2 67.24 67.9 294 67.9 train
4/18/1962 67.9 68.72 67.83 68.27 335 68.27 train
4/19/1962 68.27 68.9 68.07 68.59 310 68.59 train
4/23/1962 68.59 69.01 68.17 68.53 324 68.53 train
4/24/1962 68.53 68.91 68.16 68.46 304 68.46 test
4/25/1962 68.46 68.58 67.53 67.71 334 67.71 train
4/26/1962 67.71 67.97 66.92 67.05 365 67.05 train
4/27/1962 67.05 67.61 65.99 66.3 414 66.3 train
4/30/1962 66.3 66.9 64.95 65.24 415 65.24 train
5/1/1962 65.24 65.94 63.76 65.7 510 65.7 train
5/2/1962 65.7 66.67 65.56 65.99 378 65.99 train
5/3/1962 65.99 66.93 65.81 66.53 332 66.53 train
5/4/1962 66.53 66.8 65.8 66.24 301 66.24 train
5/7/1962 66.24 66.56 65.66 66.02 253 66.02 test
5/8/1962 66.02 66.13 64.88 65.17 302 65.17 test
5/9/1962 65.17 65.17 64.02 64.26 367 64.26 test
5/10/1962 64.26 64.39 62.99 63.57 473 63.57 train
5/11/1962 63.57 64.1 62.44 62.65 451 62.65 train
5/14/1962 62.65 63.31 61.11 63.1 599 63.1 train
5/15/1962 63.41 64.87 63.41 64.29 478 64.29 train
5/16/1962 64.29 64.88 63.82 64.27 336 64.27 train
5/17/1962 64.27 64.41 63.38 63.93 295 63.93 train
5/18/1962 63.93 64.14 63.29 63.82 249 63.82 train
5/21/1962 63.82 64.0 63.21 63.59 226 63.59 train
5/22/1962 63.59 63.69 62.26 62.34 364 62.34 train
5/23/1962 62.34 62.42 60.9 61.11 545 61.11 train
5/24/1962 61.11 61.79 60.36 60.62 525 60.62 train
5/25/1962 60.62 60.98 59.0 59.47 638 59.47 test
5/28/1962 59.15 59.15 55.42 55.5 935 55.5 train
5/29/1962 55.5 58.29 53.13 58.08 1475 58.08 test
5/31/1962 58.8 60.82 58.8 59.63 1071 59.63 train
6/1/1962 59.63 59.96 58.52 59.38 576 59.38 train
6/4/1962 59.12 59.12 57.14 57.27 538 57.27 train
6/5/1962 57.27 58.42 56.33 57.57 614 57.57 train
6/6/1962 57.64 59.17 57.64 58.39 419 58.39 test
6/7/1962 58.39 58.9 58.0 58.4 276 58.4 test
6/8/1962 58.4 58.97 58.14 58.45 256 58.45 test
6/11/1962 58.45 58.58 57.51 57.82 287 57.82 test
6/12/1962 57.66 57.66 56.23 56.34 469 56.34 train
6/13/1962 56.34 56.8 55.24 55.5 585 55.5 train
6/14/1962 55.5 56.0 54.12 54.33 624 54.33 test
6/15/1962 54.33 55.96 53.66 55.89 713 55.89 test
6/18/1962 55.89 56.53 54.97 55.74 458 55.74 train
6/19/1962 55.74 55.88 54.98 55.54 268 55.54 train
6/20/1962 55.54 55.92 54.66 54.78 336 54.78 train
6/21/1962 54.78 54.78 53.5 53.59 456 53.59 train
6/22/1962 53.59 53.78 52.48 52.68 564 52.68 train
6/25/1962 52.68 52.96 51.35 52.45 709 52.45 test
6/26/1962 52.45 53.58 52.1 52.32 463 52.32 train
6/27/1962 52.32 52.83 51.77 52.6 389 52.6 train
6/28/1962 52.98 54.64 52.98 54.41 544 54.41 train
6/29/1962 54.41 55.47 54.2 54.75 472 54.75 train
7/2/1962 54.75 56.02 54.47 55.86 345 55.86 train
7/3/1962 55.86 56.74 55.57 56.49 392 56.49 train
7/5/1962 56.49 57.1 56.15 56.81 335 56.81 train
7/6/1962 56.73 56.73 55.64 56.17 311 56.17 train
7/9/1962 56.17 56.73 55.54 56.55 295 56.55 train
7/10/1962 56.99 58.36 56.99 57.2 712 57.2 test
7/11/1962 57.2 57.95 56.77 57.73 425 57.73 train
7/12/1962 57.73 58.67 57.59 58.03 537 58.03 train
7/13/1962 58.03 58.18 57.23 57.83 338 57.83 test
7/16/1962 57.83 58.1 57.18 57.83 313 57.83 train
7/17/1962 57.83 57.96 56.68 56.78 350 56.78 train
7/18/1962 56.78 56.81 55.86 56.2 362 56.2 train
7/19/1962 56.2 56.95 55.96 56.42 309 56.42 train
7/20/1962 56.42 57.09 56.27 56.81 261 56.81 test
7/23/1962 56.81 57.32 56.53 56.8 277 56.8 train
7/24/1962 56.8 56.93 56.14 56.36 256 56.36 test
7/25/1962 56.36 56.67 55.78 56.46 291 56.46 train
7/26/1962 56.46 57.18 56.16 56.77 279 56.77 train
7/27/1962 56.77 57.36 56.56 57.2 289 57.2 test
7/30/1962 57.2 57.98 57.08 57.83 320 57.83 train
7/31/1962 57.83 58.58 57.74 58.23 419 58.23 train
8/1/1962 58.23 58.3 57.51 57.75 310 57.75 train
8/2/1962 57.75 58.2 57.38 57.98 341 57.98 test
8/3/1962 57.98 58.32 57.63 58.12 599 58.12 test
8/6/1962 58.12 58.35 57.54 57.75 311 57.75 train
8/7/1962 57.75 57.81 57.07 57.36 297 57.36 train
8/8/1962 57.36 57.64 56.76 57.51 308 57.51 train
8/9/1962 57.51 57.88 57.19 57.57 267 57.57 train
8/10/1962 57.57 57.85 57.16 57.55 247 57.55 test
8/13/1962 57.55 57.9 57.22 57.63 267 57.63 train
8/14/1962 57.63 58.43 57.41 58.25 364 58.25 test
8/15/1962 58.25 59.11 58.22 58.66 488 58.66 train
8/16/1962 58.66 59.11 58.24 58.64 418 58.64 test
8/17/1962 58.64 59.24 58.43 59.01 343 59.01 train
8/20/1962 59.01 59.72 58.9 59.37 458 59.37 test
8/21/1962 59.37 59.66 58.9 59.12 373 59.12 train
8/22/1962 59.12 59.93 58.91 59.78 452 59.78 train
8/23/1962 59.78 60.33 59.47 59.7 477 59.7 train
8/24/1962 59.7 59.92 59.18 59.58 289 59.58 test
8/27/1962 59.58 59.94 59.24 59.55 314 59.55 test
8/28/1962 59.55 59.61 58.66 58.79 318 58.79 train
8/29/1962 58.79 58.96 58.17 58.66 290 58.66 test
8/30/1962 58.66 59.06 58.39 58.68 226 58.68 train
8/31/1962 58.68 59.25 58.45 59.12 283 59.12 train
9/4/1962 59.12 59.49 58.44 58.56 297 58.56 train
9/5/1962 58.56 58.77 57.95 58.12 305 58.12 train
9/6/1962 58.12 58.6 57.72 58.36 318 58.36 train
9/7/1962 58.36 58.9 58.09 58.38 289 58.38 train
9/10/1962 58.38 58.64 57.88 58.45 252 58.45 train
9/11/1962 58.45 58.93 58.17 58.59 304 58.59 train
